league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,entrena,confianza,cluster,perfil,dist_centroide
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,25.0,1997.0,37.0,35.0,2988.0,33.2,4.0,4.0,8.0,4.0,0.0,0.0,8.0,0.0,0.12,0.12,0.24,0.12,0.24,33.2,4.0,13.0,8.0,61.5,0.39,0.24,0.31,0.5,0.0,0.0,81.0,87.4,35,85.0,27,2,7.0,0,2.32,81.0,26.0,55.0,1.66,0.2,0.0,19.0,12.0,11.0,57.0,30.0,28.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Carrilero ofensivo,2.1351259947604793
ENG-Premier League,2324,Arsenal,Gabriel Magalhães,BRA,DF,25.0,1997.0,36.0,34.0,3044.0,33.8,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,0.12,0.12,33.8,4.0,31.0,10.0,32.3,0.92,0.3,0.13,0.4,0.0,0.0,85.0,89.0,34,89.0,32,2,13.0,2,2.36,78.0,26.0,52.0,1.54,-0.86,0.0,35.0,33.0,0.0,4.0,29.0,29.0,,,1.0,,,,,,,,,,,,,,,,True,alta,1,Central,2.0212248670204893
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,23.0,2000.0,20.0,11.0,946.0,10.5,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.1,0.29,0.38,0.1,0.38,10.5,1.0,6.0,3.0,50.0,0.57,0.29,0.17,0.33,0.0,0.0,47.0,27.7,11,80.0,7,9,7.0,18,2.65,39.0,8.0,31.0,2.95,1.82,0.0,10.0,3.0,0.0,12.0,7.0,13.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Carrilero ofensivo,2.155669654053191
ENG-Premier League,2324,Arsenal,Oleksandr Zinchenko,UKR,DF,26.0,1996.0,27.0,20.0,1722.0,19.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.05,0.1,0.16,0.05,0.16,19.1,1.0,17.0,3.0,17.6,0.89,0.16,0.06,0.33,0.0,0.0,64.0,50.4,20,79.0,7,7,21.0,5,2.26,38.0,15.0,23.0,1.2,-0.87,0.0,7.0,9.0,1.0,30.0,19.0,30.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Carrilero ofensivo,2.344294678521428
ENG-Premier League,2324,Arsenal,Takehiro Tomiyasu,JPN,DF,24.0,1998.0,22.0,10.0,1149.0,12.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,0.16,0.08,0.23,0.16,0.23,12.8,2.0,17.0,3.0,17.6,1.33,0.23,0.12,0.67,0.0,0.0,52.0,33.6,10,85.0,7,12,25.0,1,2.41,30.0,10.0,20.0,1.57,-0.1,1.0,14.0,8.0,1.0,14.0,18.0,8.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Carrilero ofensivo,2.694186424995365
ENG-Premier League,2324,Arsenal,Thomas Partey,GHA,"MF,DF",30.0,1993.0,14.0,9.0,788.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,8.0,2.0,25.0,0.91,0.23,0.0,0.0,0.0,0.0,56.0,23.0,9,79.0,4,5,16.0,3,2.71,20.0,5.0,15.0,1.71,0.11,0.0,10.0,6.0,0.0,2.0,10.0,11.0,,,0.0,,,,,,,,,,,,,,,,False,baja,0,Lateral de combate,1.9029302634996519
ENG-Premier League,2324,Arsenal,William Saliba,FRA,DF,22.0,2001.0,38.0,38.0,3420.0,38.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.05,0.03,0.08,0.05,0.08,38.0,2.0,10.0,4.0,40.0,0.26,0.11,0.2,0.5,0.0,0.0,90.0,100.0,38,90.0,38,0,,0,2.34,91.0,29.0,62.0,1.63,,0.0,22.0,16.0,0.0,3.0,29.0,26.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Central,1.7233571507767602
ENG-Premier League,2324,Aston Villa,Clément Lenglet,FRA,DF,28.0,1995.0,14.0,14.0,1153.0,12.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.08,0.08,0.0,0.08,12.8,0.0,7.0,2.0,28.6,0.55,0.16,0.0,0.0,0.0,0.0,82.0,33.7,14,82.0,11,0,,20,1.29,22.0,27.0,-5.0,-0.39,-1.18,0.0,3.0,12.0,0.0,3.0,8.0,9.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Central,3.05836398433265
ENG-Premier League,2324,Aston Villa,Diego Carlos,BRA,DF,30.0,1993.0,27.0,20.0,1816.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,10.0,1.0,10.0,0.5,0.05,0.0,0.0,0.0,0.0,67.0,53.1,20,86.0,18,7,15.0,5,1.56,35.0,36.0,-1.0,-0.05,-0.95,0.0,26.0,4.0,1.0,1.0,12.0,16.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Central,2.0128838286679485
ENG-Premier League,2324,Aston Villa,Ezri Konsa,ENG,DF,25.0,1997.0,35.0,35.0,3069.0,34.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.03,0.0,0.03,0.03,0.03,34.1,1.0,19.0,5.0,26.3,0.56,0.15,0.05,0.2,0.0,0.0,88.0,89.7,35,88.0,30,0,,0,1.77,68.0,54.0,14.0,0.41,0.15,0.0,15.0,64.0,0.0,18.0,26.0,33.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Central,2.9458020401300344
