league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,entrena,confianza,cluster,perfil,dist_centroide
ENG-Premier League,2526,Arsenal,David Raya,ESP,GK,29.0,1995.0,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,97.4,37,90.0,37,0,,0,2.22,69.0,26.0,43.0,1.16,0.16,0.0,0.0,14.0,0.0,1.0,1.0,1.0,,,0.0,26.0,0.7,86.0,59.0,69.8,25.0,7.0,5.0,19.0,51.4,0.0,0.0,0.0,0.0,,True,alta,1,Portero de bloque sólido,2.9623446002958826
ENG-Premier League,2526,Aston Villa,Emiliano Martínez,ARG,GK,32.0,1992.0,32.0,32.0,2835.0,31.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.03,0.0,0.03,31.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,89.0,82.9,32,89.0,31,0,,0,1.69,46.0,39.0,7.0,0.22,0.22,0.0,0.0,17.0,0.0,0.0,0.0,0.0,,,0.0,39.0,1.24,134.0,95.0,70.9,16.0,6.0,10.0,8.0,25.0,1.0,0.0,1.0,0.0,100.0,True,alta,2,Portero de área,2.7853803527635077
ENG-Premier League,2526,Aston Villa,Marco Bizot,NED,GK,34.0,1991.0,7.0,6.0,585.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,84.0,17.1,6,90.0,6,1,45.0,30,1.71,10.0,10.0,0.0,0.0,-0.22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,10.0,1.54,29.0,19.0,65.5,3.0,2.0,1.0,2.0,33.3,1.0,1.0,0.0,0.0,0.0,False,baja,2,Portero de área,0.9513643875044734
ENG-Premier League,2526,Bournemouth,Đorđe Petrović,SRB,GK,25.0,1999.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,100.0,38,90.0,38,0,,0,1.5,58.0,54.0,4.0,0.11,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,1.0,54.0,1.42,163.0,109.0,66.9,13.0,18.0,7.0,11.0,28.9,6.0,6.0,0.0,0.0,0.0,True,alta,2,Portero de área,1.6487695205430661
ENG-Premier League,2526,Brentford,Caoimhín Kelleher,IRL,GK,26.0,1998.0,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,97.4,37,90.0,37,0,,0,1.35,51.0,49.0,2.0,0.05,-0.95,0.0,3.0,6.0,0.0,0.0,1.0,0.0,,,0.0,49.0,1.32,154.0,105.0,68.2,13.0,11.0,13.0,10.0,27.0,8.0,5.0,3.0,0.0,37.5,True,alta,2,Portero de área,0.9729911958066273
ENG-Premier League,2526,Brighton,Bart Verbruggen,NED,GK,22.0,2002.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,100.0,38,90.0,38,0,,0,1.39,52.0,46.0,6.0,0.16,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,,,1.0,46.0,1.21,151.0,103.0,69.5,14.0,11.0,13.0,10.0,26.3,6.0,5.0,1.0,0.0,16.7,True,alta,2,Portero de área,1.7430393243486693
ENG-Premier League,2526,Burnley,Martin Dúbravka,SVK,GK,36.0,1989.0,35.0,35.0,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,92.1,35,90.0,35,0,,3,0.57,35.0,71.0,-36.0,-1.03,-0.7,0.0,0.0,8.0,0.0,0.0,0.0,1.0,,,0.0,71.0,2.03,198.0,127.0,64.1,4.0,8.0,23.0,4.0,11.4,7.0,6.0,0.0,1.0,0.0,True,alta,0,Portero muy exigido,1.8216929277243226
ENG-Premier League,2526,Chelsea,Robert Sánchez,ESP,GK,27.0,1997.0,35.0,35.0,3039.0,33.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.03,0.03,0.0,0.03,33.8,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,87.0,88.9,35,87.0,33,0,,1,1.34,50.0,47.0,3.0,0.09,-0.62,0.0,2.0,13.0,0.0,0.0,1.0,0.0,,,0.0,49.0,1.45,147.0,97.0,66.7,13.0,8.0,14.0,9.0,25.7,2.0,2.0,0.0,0.0,0.0,True,alta,2,Portero de área,1.958940603229775
ENG-Premier League,2526,Crystal Palace,Dean Henderson,ENG,GK,28.0,1997.0,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,97.4,37,90.0,37,0,,0,1.19,41.0,51.0,-10.0,-0.27,-0.27,0.0,2.0,5.0,0.0,0.0,1.0,0.0,,,0.0,51.0,1.38,156.0,104.0,67.3,11.0,11.0,15.0,11.0,29.7,6.0,5.0,1.0,0.0,16.7,True,alta,2,Portero de área,0.7147030873000294
ENG-Premier League,2526,Everton,Jordan Pickford,ENG,GK,31.0,1994.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,100.0,38,90.0,38,0,,0,1.29,47.0,50.0,-3.0,-0.08,,0.0,1.0,6.0,0.0,0.0,0.0,1.0,,,0.0,50.0,1.32,149.0,99.0,66.4,13.0,10.0,15.0,11.0,28.9,4.0,3.0,1.0,0.0,25.0,True,alta,2,Portero de área,1.0617062878254062
ENG-Premier League,2526,Fulham,Bernd Leno,GER,GK,33.0,1992.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,100.0,38,90.0,38,0,,0,1.37,47.0,51.0,-4.0,-0.11,,0.0,0.0,6.0,0.0,0.0,1.0,1.0,,,1.0,51.0,1.34,149.0,98.0,65.8,15.0,7.0,16.0,9.0,23.7,4.0,3.0,0.0,1.0,0.0,True,alta,2,Portero de área,1.0925838630373856
ENG-Premier League,2526,Leeds United,Karl Darlow,WAL,GK,34.0,1990.0,22.0,22.0,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,57.9,22,90.0,22,0,,15,1.32,26.0,27.0,-1.0,-0.05,0.33,0.0,0.0,7.0,0.0,0.0,0.0,0.0,,,0.0,27.0,1.23,90.0,63.0,70.0,7.0,8.0,7.0,5.0,22.7,2.0,2.0,0.0,0.0,0.0,True,alta,2,Portero de área,1.5029267739498071
ENG-Premier League,2526,Leeds United,Lucas Perri,BRA,GK,27.0,1997.0,16.0,16.0,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,42.1,16,90.0,16,0,,18,1.13,23.0,29.0,-6.0,-0.37,-0.33,0.0,1.0,3.0,0.0,0.0,0.0,0.0,,,0.0,29.0,1.81,67.0,38.0,56.7,4.0,6.0,6.0,3.0,18.8,4.0,4.0,0.0,0.0,0.0,True,alta,0,Portero muy exigido,2.2837208116973713
ENG-Premier League,2526,Liverpool,Alisson,BRA,GK,32.0,1992.0,26.0,26.0,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,68.4,26,90.0,26,0,,0,1.81,44.0,31.0,13.0,0.5,0.75,0.0,1.0,7.0,0.0,0.0,0.0,0.0,,,0.0,31.0,1.19,88.0,57.0,64.8,13.0,8.0,5.0,8.0,30.8,2.0,2.0,0.0,0.0,0.0,True,alta,2,Portero de área,2.083221855885464
ENG-Premier League,2526,Liverpool,Giorgi Mamardashvili,GEO,GK,24.0,2000.0,10.0,10.0,867.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,87.0,25.4,10,87.0,9,0,,26,1.0,13.0,18.0,-5.0,-0.52,-1.05,0.0,1.0,2.0,0.0,0.0,1.0,1.0,,,0.0,18.0,1.87,51.0,33.0,64.7,3.0,1.0,6.0,2.0,20.0,2.0,1.0,1.0,0.0,50.0,False,baja,0,Portero muy exigido,1.5179635123803963
