league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,entrena,confianza,cluster,perfil,dist_centroide
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,24.0,1999.0,38.0,37.0,3225.0,35.8,7.0,8.0,15.0,7.0,0.0,0.0,5.0,0.0,0.2,0.22,0.42,0.2,0.42,35.8,7.0,58.0,20.0,34.5,1.62,0.56,0.12,0.35,0.0,0.0,85.0,94.3,37,87.0,29,1,24.0,0,2.34,84.0,28.0,56.0,1.56,-1.21,0.0,34.0,14.0,2.0,61.0,44.0,50.0,,,0.0,,,,,,,,,,,,,,,,True,alta,0,Carrilero,2.659256617342467
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,31.0,1991.0,24.0,10.0,921.0,10.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0,0.2,10.2,0.0,4.0,0.0,0.0,0.39,0.0,0.0,,0.0,0.0,38.0,26.9,10,78.0,3,14,10.0,13,2.42,25.0,11.0,14.0,1.37,-0.36,0.0,9.0,15.0,0.0,3.0,11.0,10.0,,,0.0,,,,,,,,,,,,,,,,True,alta,0,Carrilero,2.753594121999183
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,"MF,FW",24.0,1999.0,37.0,30.0,2634.0,29.3,13.0,7.0,20.0,12.0,1.0,1.0,11.0,0.0,0.44,0.24,0.68,0.41,0.65,29.3,13.0,69.0,28.0,40.6,2.36,0.96,0.19,0.46,1.0,1.0,71.0,77.0,30,83.0,18,7,19.0,0,2.41,77.0,22.0,55.0,1.88,1.08,0.0,49.0,44.0,15.0,11.0,18.0,17.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Interior de conducción,2.9400115726815086
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",28.0,1994.0,34.0,18.0,1649.0,18.3,12.0,1.0,13.0,12.0,0.0,0.0,2.0,0.0,0.65,0.05,0.71,0.65,0.71,18.3,12.0,60.0,22.0,36.7,3.27,1.2,0.2,0.55,0.0,0.0,49.0,48.2,18,72.0,3,16,22.0,3,2.32,45.0,11.0,34.0,1.86,0.43,0.0,15.0,20.0,9.0,57.0,8.0,14.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Interior ofensivo,2.1950064883445686
ENG-Premier League,2324,Arsenal,Martin Ødegaard,NOR,MF,24.0,1998.0,35.0,35.0,3091.0,34.3,8.0,10.0,18.0,6.0,2.0,2.0,2.0,0.0,0.23,0.29,0.52,0.17,0.47,34.3,8.0,77.0,23.0,29.9,2.24,0.67,0.1,0.35,2.0,2.0,88.0,90.4,35,88.0,22,0,,1,2.37,80.0,23.0,57.0,1.66,0.29,0.0,30.0,36.0,3.0,77.0,14.0,18.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Interior ofensivo,1.5190430363939804
ENG-Premier League,2324,Arsenal,Thomas Partey,GHA,"MF,DF",30.0,1993.0,14.0,9.0,788.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,8.0,2.0,25.0,0.91,0.23,0.0,0.0,0.0,0.0,56.0,23.0,9,79.0,4,5,16.0,3,2.71,20.0,5.0,15.0,1.71,0.11,0.0,10.0,6.0,0.0,2.0,10.0,11.0,,,0.0,,,,,,,,,,,,,,,,False,baja,3,Pivote destructor,1.7440228159663254
ENG-Premier League,2324,Aston Villa,Boubacar Kamara,FRA,MF,23.0,1999.0,20.0,20.0,1652.0,18.4,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.05,0.05,0.0,0.05,18.4,0.0,5.0,1.0,20.0,0.27,0.05,0.0,0.0,0.0,0.0,83.0,48.3,20,83.0,10,0,,0,2.05,36.0,22.0,14.0,0.76,0.71,0.0,35.0,29.0,0.0,2.0,20.0,30.0,,,0.0,,,,,,,,,,,,,,,,True,alta,3,Pivote destructor,1.9370879520059052
ENG-Premier League,2324,Aston Villa,Douglas Luiz,BRA,MF,25.0,1998.0,35.0,35.0,2993.0,33.3,9.0,5.0,14.0,5.0,4.0,4.0,12.0,0.0,0.27,0.15,0.42,0.15,0.3,33.3,9.0,48.0,17.0,35.4,1.44,0.51,0.19,0.53,4.0,4.0,86.0,87.5,35,86.0,26,0,,0,1.69,65.0,57.0,8.0,0.24,-1.23,0.0,51.0,41.0,0.0,116.0,22.0,37.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Interior de conducción,2.1543294453632527
ENG-Premier League,2324,Aston Villa,Jacob Ramsey,ENG,MF,22.0,2001.0,16.0,8.0,853.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.11,0.11,0.21,0.11,0.21,9.5,1.0,19.0,5.0,26.3,2.0,0.53,0.05,0.2,0.0,0.0,53.0,24.9,8,80.0,5,8,26.0,0,2.19,22.0,12.0,10.0,1.06,0.88,0.0,7.0,12.0,0.0,11.0,3.0,8.0,,,0.0,,,,,,,,,,,,,,,,False,baja,0,Carrilero,2.6585249939760756
ENG-Premier League,2324,Aston Villa,John McGinn,SCO,MF,28.0,1994.0,35.0,35.0,2999.0,33.3,6.0,4.0,10.0,6.0,0.0,0.0,9.0,1.0,0.18,0.12,0.3,0.18,0.3,33.3,6.0,40.0,16.0,40.0,1.2,0.48,0.15,0.38,0.0,0.0,86.0,87.7,35,86.0,24,0,,0,1.83,68.0,52.0,16.0,0.48,0.69,0.0,39.0,69.0,2.0,77.0,20.0,34.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Interior de conducción,1.440552331327232
