league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,entrena,confianza,cluster,dist_centroide
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25.0,1998.0,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,15.8,6,90.0,6,0,,31,2.67,11.0,5.0,6.0,1.0,-0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,5.0,0.83,14.0,9.0,64.3,5.0,1.0,0.0,2.0,33.3,0.0,0.0,0.0,0.0,,False,baja,2,3.3044590160661524
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27.0,1995.0,32.0,32.0,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,84.2,32,90.0,32,0,,3,2.28,80.0,24.0,56.0,1.75,0.75,0.0,0.0,4.0,0.0,0.0,0.0,1.0,,,0.0,24.0,0.75,69.0,45.0,65.2,23.0,4.0,5.0,14.0,43.8,3.0,2.0,1.0,0.0,33.3,True,alta,2,2.728277826372804
ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,30.0,1992.0,34.0,34.0,3015.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,89.0,88.2,34,89.0,33,0,,0,1.91,72.0,48.0,24.0,0.72,2.72,0.0,1.0,7.0,0.0,0.0,0.0,0.0,,,2.0,48.0,1.43,143.0,95.0,66.4,19.0,8.0,7.0,7.0,20.6,1.0,1.0,0.0,0.0,0.0,True,alta,0,1.5217580416158998
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34.0,1989.0,32.0,32.0,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,84.2,32,90.0,32,0,,4,1.22,46.0,55.0,-9.0,-0.28,0.39,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,55.0,1.72,167.0,112.0,67.1,10.0,9.0,13.0,7.0,21.9,6.0,5.0,1.0,0.0,16.7,True,alta,1,1.8802274397195553
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30.0,1993.0,37.0,37.0,3285.0,36.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.03,0.03,0.0,0.03,36.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,89.0,96.1,37,89.0,36,0,,0,1.05,53.0,63.0,-10.0,-0.27,-0.94,0.0,2.0,4.0,0.0,0.0,0.0,1.0,,,0.0,63.0,1.73,178.0,115.0,64.6,10.0,9.0,18.0,7.0,18.9,2.0,2.0,0.0,0.0,0.0,True,alta,0,1.6850722945030352
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,20.0,2002.0,21.0,21.0,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,55.3,21,90.0,21,0,,17,1.38,31.0,28.0,3.0,0.14,0.73,0.0,1.0,2.0,0.0,0.0,0.0,1.0,,,0.0,28.0,1.33,93.0,65.0,69.9,7.0,8.0,6.0,4.0,19.0,3.0,3.0,0.0,0.0,0.0,True,alta,0,1.3662178032421701
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,32.0,1990.0,17.0,17.0,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,44.7,17,90.0,17,0,,21,1.12,24.0,34.0,-10.0,-0.59,-0.73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,34.0,2.0,77.0,43.0,55.8,5.0,4.0,8.0,2.0,11.8,3.0,3.0,0.0,0.0,0.0,True,alta,1,1.980786483546586
ENG-Premier League,2324,Burnley,Arijanet Muric,KVX,GK,24.0,1998.0,10.0,10.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,26.3,10,90.0,10,0,,25,1.0,14.0,16.0,-2.0,-0.2,1.05,0.0,0.0,3.0,0.0,0.0,0.0,1.0,,,1.0,16.0,1.6,79.0,63.0,79.7,2.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,False,baja,0,5.049347320404463
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,20.0,2002.0,28.0,28.0,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,73.7,28,90.0,28,0,,8,0.5,27.0,62.0,-35.0,-1.25,-1.05,0.0,0.0,5.0,0.0,0.0,1.0,1.0,,,0.0,62.0,2.21,168.0,106.0,63.1,3.0,5.0,20.0,2.0,7.1,5.0,5.0,0.0,0.0,0.0,True,alta,1,1.811207896608303
ENG-Premier League,2324,Chelsea,Robert Sánchez,ESP,GK,25.0,1997.0,16.0,16.0,1433.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,41.9,16,90.0,15,0,,2,1.19,26.0,25.0,1.0,0.06,-0.53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,25.0,1.57,77.0,52.0,67.5,5.0,4.0,7.0,3.0,18.8,3.0,2.0,1.0,0.0,33.3,True,alta,1,0.9182165681537211
